,ATM,Total,OK,criticidad
188,3398,439080.0,Fail,
189,4288,567280.0,OK,
190,E293,784320.0,OK,
191,E294,881080.0,OK,
192,E295,952240.0,OK,
193,4387,997500.0,OK,
194,4388,892000.0,OK,
195,B028,380700.0,Fail,
196,B029,881500.0,OK,
197,3115,702480.0,OK,
198,6906,964680.0,OK,
199,E214,662160.0,OK,
200,E215,1232360.0,OK,
201,E216,468080.0,Fail,
202,E217,787260.0,OK,
203,0838,1134000.0,OK,
204,4395,17200.0,Fail,C
205,7258,199200.0,Fail,
206,0515,428060.0,Fail,
207,0534,425720.0,Fail,
208,0541,710340.0,OK,
209,A567,564120.0,OK,
210,5760,248300.0,Fail,
211,A165,412900.0,Fail,
212,A166,493400.0,OK,
213,B398,664180.0,OK,
214,D027,480100.0,Fail,
215,D028,671040.0,OK,
216,2867,413200.0,Fail,
217,8422,551700.0,OK,
218,8457,550600.0,OK,
219,8652,735900.0,OK,
220,A208,510500.0,Fail,
221,2868,587620.0,OK,
222,5904,484840.0,Fail,
223,D142,496440.0,Fail,
224,D143,403640.0,Fail,
225,A825,1487500.0,OK,
226,8753,854680.0,OK,
227,D362,373100.0,OK,
228,D363,217320.0,Fail,
229,0131,919400.0,OK,
230,0669,1282700.0,OK,
231,7081,1322500.0,OK,
232,7087,2013300.0,OK,
233,6932,600620.0,OK,
234,7143,790300.0,OK,
235,7144,1133440.0,OK,
236,7145,1241740.0,OK,
237,A296,759400.0,OK,
238,A297,647600.0,OK,
239,A299,1369600.0,OK,
240,5473,540420.0,OK,
241,D044,657040.0,OK,
242,D045,1001660.0,OK,
243,0132,1249100.0,OK,
244,8676,2148500.0,OK,
245,3876,1273360.0,OK,
246,8548,1172740.0,OK,
247,8689,1260660.0,OK,
248,0112,524500.0,OK,
249,5816,1456140.0,OK,
250,8218,543480.0,OK,
251,8375,523320.0,OK,
252,4824,797200.0,OK,
253,4915,342400.0,Fail,
254,2963,478360.0,Fail,
255,2968,1068100.0,OK,
256,0809,858000.0,OK,
257,0845,490000.0,OK,
258,1047,736000.0,OK,
259,1236,612240.0,OK,
260,1274,590720.0,OK,
261,1410,730240.0,OK,
262,D370,871500.0,OK,
263,B031,311800.0,Fail,
264,B032,451500.0,OK,
265,B033,394900.0,Fail,
266,4181,1374700.0,OK,
267,5924,772460.0,OK,
268,D404,642140.0,OK,
269,E218,748300.0,OK,
270,E219,572700.0,OK,
271,9251,539000.0,OK,
272,5820,1254020.0,OK,
273,9326,1341620.0,OK,
274,9531,491920.0,Fail,
275,3786,1302200.0,OK,
276,3787,1624900.0,OK,
277,3941,934180.0,OK,
278,3942,416580.0,Fail,
279,8433,352120.0,Fail,
280,0113,748200.0,OK,
281,0564,378300.0,Fail,
282,0656,1834600.0,OK,
283,2825,288400.0,Fail,
284,7639,1049500.0,OK,
285,2826,520820.0,OK,
286,2855,418540.0,Fail,
287,B787,775900.0,OK,
288,B035,1145900.0,OK,
289,B036,1129400.0,OK,
290,B037,350500.0,Fail,
291,B038,57400.0,Fail,C
292,3019,406100.0,Fail,
293,E220,640220.0,OK,
294,E221,555360.0,OK,
295,4197,1426200.0,OK,
296,4199,1565800.0,OK,
297,4202,1210300.0,OK,
298,2575,915540.0,OK,
299,2627,406520.0,Fail,
300,2686,765700.0,OK,
301,5036,554100.0,OK,
302,5925,615920.0,OK,
303,0334,641100.0,OK,
304,9880,1662600.0,OK,
305,2966,1039720.0,OK,
306,2967,409680.0,Fail,
307,D168,559340.0,OK,
308,E986,901520.0,OK,
309,C114,1449000.0,OK,
310,C115,1278800.0,OK,
311,C116,1692100.0,OK,
312,4234,877220.0,OK,
313,D967,729760.0,OK,
314,D968,948580.0,OK,
315,0464,479500.0,Fail,
316,3083,135600.0,Fail,
317,3084,357600.0,Fail,
318,3965,515300.0,OK,
319,3966,635700.0,OK,
320,C535,1156800.0,OK,
321,A995,692920.0,OK,
322,D780,864720.0,OK,
323,3056,1123000.0,OK,
324,3057,1638500.0,OK,
325,3967,727900.0,OK,
326,3968,678360.0,OK,
327,5884,536920.0,OK,
328,5927,737720.0,OK,
329,8507,524060.0,OK,
330,7936,426600.0,Fail,
331,7937,467200.0,OK,
332,3788,283720.0,Fail,
333,5779,473720.0,Fail,
334,5817,469820.0,Fail,
335,1073,1292300.0,OK,
336,4224,503500.0,Fail,
337,4225,719800.0,OK,
338,6017,522100.0,Fail,
339,2481,414060.0,Fail,
340,6083,621680.0,OK,
341,6084,523420.0,OK,
342,7008,631440.0,OK,
343,3911,865200.0,OK,
344,3912,1577400.0,OK,
345,3915,1518100.0,OK,
346,3916,444600.0,Fail,
347,3917,1657500.0,OK,
348,7562,469640.0,Fail,
349,7626,448040.0,Fail,
350,7627,608640.0,OK,
351,7628,402080.0,Fail,
352,0186,1533100.0,OK,
353,1609,1065200.0,OK,
354,7842,1985900.0,OK,
355,2406,485740.0,Fail,
356,7187,588280.0,OK,
357,7847,1227480.0,OK,
358,1389,104550.0,Fail,C
359,1433,255100.0,Fail,
360,1781,690600.0,OK,
361,5872,1294600.0,OK,
362,D174,280620.0,Fail,
363,D175,1284960.0,OK,
364,E842,768520.0,OK,
365,5702,833500.0,OK,
366,7346,1176100.0,OK,
367,7347,1008000.0,OK,
368,5709,964380.0,OK,
369,5744,629240.0,OK,
370,5944,711300.0,OK,
371,E311,1172160.0,OK,
372,2407,1836700.0,OK,
373,7387,1726600.0,OK,
374,8368,1244200.0,OK,
375,8369,1145100.0,OK,
376,8370,1171200.0,OK,
377,5552,792940.0,OK,
378,5923,442300.0,OK,
379,7390,878560.0,OK,
380,7395,944100.0,OK,
381,8526,999360.0,OK,
382,A622,895380.0,OK,
383,0814,1360800.0,OK,
384,0824,1738700.0,OK,
385,0832,1427200.0,OK,
386,4586,330680.0,Fail,
387,4587,570160.0,OK,
388,4588,543280.0,OK,
389,9925,284240.0,Fail,
390,2871,936100.0,OK,
391,2873,513700.0,Fail,
392,2885,534100.0,Fail,
393,2923,585900.0,Fail,
394,7900,1021100.0,OK,
395,7906,1146800.0,OK,
396,7907,2126000.0,OK,
397,7908,765900.0,OK,
398,7909,1077100.0,OK,
399,3464,304660.0,Fail,
400,3500,512880.0,OK,
401,3502,366920.0,Fail,
402,3503,398640.0,Fail,
403,4162,728560.0,OK,
404,6000,298960.0,Fail,
405,6001,961660.0,OK,
406,6002,1152440.0,OK,
407,6003,1199980.0,OK,
408,3217,413750.0,Fail,
409,3218,876800.0,OK,
410,0071,969280.0,OK,
411,0119,605800.0,OK,
412,4112,473320.0,OK,
413,3712,1116100.0,OK,
414,3940,769280.0,OK,
415,3957,842060.0,OK,
416,5871,264020.0,Fail,
417,1889,1397100.0,OK,
418,2215,1611450.0,OK,
419,2402,1508700.0,OK,
420,2408,1624600.0,OK,
421,3054,559240.0,OK,
422,B040,582120.0,OK,
423,D176,1050800.0,OK,
424,D177,1041060.0,OK,
425,D178,886400.0,OK,
426,6576,1998400.0,OK,
427,6588,1178360.0,OK,
428,6589,1188300.0,OK,
429,6590,1064140.0,OK,
430,C769,1214580.0,OK,
431,D011,1256980.0,OK,
432,3739,525200.0,Fail,
433,3740,1194500.0,OK,
434,3741,1301300.0,OK,
435,3971,572440.0,OK,
436,4810,732500.0,OK,
437,C823,288860.0,Fail,
438,0311,1339300.0,OK,
439,0320,1380300.0,OK,
440,0373,1134800.0,OK,
441,0409,1713900.0,OK,
442,0412,604700.0,OK,
443,0428,519460.0,OK,
444,0430,592480.0,OK,
445,9921,432040.0,Fail,
446,3008,903400.0,OK,
447,3010,988000.0,OK,
448,6373,690600.0,OK,
449,4109,689980.0,OK,
450,D179,1091600.0,OK,
451,D180,741380.0,OK,
452,E811,1049480.0,OK,
453,B043,1529300.0,OK,
454,B044,1481000.0,OK,
455,E686,760240.0,OK,
456,E687,614240.0,OK,
457,E688,293100.0,Fail,
458,0240,837800.0,OK,
459,0245,1353200.0,OK,
460,7100,868300.0,OK,
461,2961,1027520.0,OK,
462,2962,457560.0,Fail,
463,3031,500260.0,Fail,
464,7204,333360.0,Fail,
465,6864,378250.0,Fail,
466,6865,489700.0,Fail,
467,6870,708200.0,OK,
468,5939,530520.0,OK,
469,6877,753000.0,OK,
470,6895,823480.0,OK,
471,B571,777380.0,OK,
472,1837,1302600.0,OK,
473,1839,1094600.0,OK,
474,1883,933500.0,OK,
475,1917,1524900.0,OK,
476,1926,1096000.0,OK,
477,1928,454960.0,Fail,
478,1977,782280.0,OK,
479,3892,835860.0,OK,
480,7273,422600.0,Fail,
481,7276,1078400.0,OK,
482,7277,1065400.0,OK,
483,5890,836500.0,OK,
484,5911,578180.0,OK,
485,7396,1302360.0,OK,
486,B006,1032000.0,OK,
487,B007,1008800.0,OK,
488,3092,265160.0,Fail,
489,E202,334880.0,Fail,
490,E203,316740.0,Fail,
491,0418,1575700.0,OK,
492,0504,1017500.0,OK,
493,0536,1784400.0,OK,
494,2996,765180.0,OK,
495,7385,1301720.0,OK,
496,D098,984400.0,OK,
497,D099,1047640.0,OK,
498,0918,0.0,Fail,C
499,0936,976900.0,OK,
500,0965,1174500.0,OK,
501,0974,1473100.0,OK,
502,0990,1397600.0,OK,
503,7705,90780.0,Fail,C
504,7706,206340.0,Fail,
505,7709,498140.0,Fail,
506,7710,842440.0,OK,
507,7711,753300.0,OK,
508,7712,648920.0,OK,
509,8702,1247700.0,OK,
510,8723,1485900.0,OK,
511,8736,2088600.0,OK,
512,A190,1277500.0,OK,
513,2394,534860.0,OK,
514,9167,257860.0,Fail,
515,D144,450540.0,Fail,
516,D145,921880.0,OK,
517,E855,1071560.0,OK,
518,E884,925640.0,OK,
519,1444,789900.0,OK,
520,1453,801150.0,OK,
521,1506,1799400.0,OK,
522,1531,353160.0,Fail,
523,1655,469400.0,OK,
524,5460,248680.0,Fail,
525,5985,940740.0,OK,
526,6591,742900.0,OK,
527,6592,593850.0,OK,
528,6593,775860.0,OK,
529,7220,1077780.0,OK,
530,2650,1404200.0,OK,
531,A630,636300.0,OK,
532,A631,1054500.0,OK,
533,A632,269300.0,Fail,
534,7233,802600.0,OK,
535,D247,707360.0,OK,
536,D248,731660.0,OK,
537,D249,761660.0,OK,
538,0892,1770500.0,OK,
539,2693,1009800.0,OK,
540,2695,1201800.0,OK,
541,2950,1056100.0,OK,
542,4071,766700.0,OK,
543,4077,877100.0,OK,
544,C911,716840.0,OK,
545,D181,605720.0,OK,
546,D182,672520.0,OK,
547,D183,526560.0,OK,
548,D244,443600.0,Fail,
549,0122,1502900.0,OK,
550,0213,1490100.0,OK,
551,0218,1213200.0,OK,
552,2713,582900.0,Fail,
553,7916,607860.0,OK,
554,E693,557320.0,OK,
555,E694,649040.0,OK,
556,E695,823940.0,OK,
557,8216,852800.0,OK,
558,8222,983700.0,OK,
559,7962,1192980.0,OK,
560,7966,1306580.0,OK,
561,0398,1051400.0,OK,
562,7193,1369900.0,OK,
563,3029,392220.0,Fail,
564,4047,521140.0,OK,
565,7196,920720.0,OK,
566,4914,874900.0,OK,
567,5061,1036200.0,Fail,
568,8406,988900.0,OK,
569,2468,556240.0,OK,
570,5084,345620.0,Fail,
571,5362,309080.0,Fail,
572,7321,544400.0,OK,
573,0390,318100.0,Fail,
574,5832,581820.0,OK,
575,D040,1026100.0,OK,
576,A037,1323200.0,OK,
577,A633,1329600.0,OK,
578,A634,559900.0,OK,
579,D250,576940.0,OK,
580,C580,388600.0,Fail,
581,E292,724000.0,OK,
582,8357,2034500.0,OK,
583,8379,595300.0,OK,
584,2985,969880.0,OK,
585,3137,442300.0,Fail,
586,A387,1873800.0,OK,
587,5958,571600.0,OK,
588,D091,806220.0,OK,
589,A635,1622300.0,OK,
590,A636,2068800.0,OK,
591,D251,710760.0,OK,
592,D252,665160.0,OK,
593,9012,1564800.0,OK,
594,2410,396140.0,OK,
595,7810,785860.0,OK,
596,6408,879600.0,OK,
597,7615,615550.0,OK,
598,D235,567220.0,OK,
599,C585,1445600.0,OK,
600,5566,327800.0,Fail,
601,E296,636460.0,OK,
602,E297,256280.0,Fail,
603,C587,1477100.0,OK,
604,C588,1667700.0,OK,
605,A537,877680.0,OK,
606,E298,1101600.0,OK,
607,B739,1363100.0,OK,
608,B740,668400.0,OK,
609,5954,990680.0,OK,
610,D872,1075540.0,OK,
611,A637,295600.0,Fail,
612,A638,855600.0,OK,
613,D253,896300.0,OK,
614,D254,922660.0,OK,
615,8716,941300.0,OK,
616,3135,296340.0,Fail,
617,8788,424740.0,OK,
618,8949,555100.0,OK,
619,8950,1699800.0,OK,
620,3138,632300.0,OK,
621,9107,508120.0,Fail,
622,B757,540600.0,Fail,
623,B758,777100.0,OK,
624,2653,602200.0,OK,
625,D884,794840.0,OK,
626,8477,895300.0,OK,
627,9376,394400.0,Fail,
628,9382,2091000.0,OK,
629,6698,507140.0,Fail,
630,6733,607640.0,OK,
631,B041,708440.0,OK,
632,C589,1217000.0,OK,
633,C590,1408800.0,OK,
634,4187,578080.0,OK,
635,7872,286680.0,Fail,
636,E299,1145940.0,OK,
637,E300,577460.0,OK,
638,9498,944900.0,OK,
639,9500,1092700.0,OK,
640,9501,1786500.0,OK,
641,7878,1441960.0,OK,
642,8856,1437200.0,OK,
643,8858,1249040.0,OK,
644,A391,760000.0,OK,
645,A392,2025100.0,OK,
646,A393,682100.0,OK,
647,D093,724160.0,OK,
648,3728,1928700.0,OK,
649,3729,1507300.0,OK,
650,3730,1497100.0,OK,
651,3899,155200.0,Fail,
652,3960,419000.0,Fail,
653,3961,828220.0,OK,
654,8528,562260.0,OK,
655,A841,179220.0,Fail,
656,B528,1622300.0,OK,
657,D263,1212920.0,OK,
658,D357,862340.0,OK,
659,0578,1751400.0,OK,
660,0614,574060.0,OK,
661,0622,282820.0,Fail,
662,A640,1020700.0,Fail,
663,A641,1206600.0,OK,
664,A642,889400.0,OK,
665,5810,549320.0,OK,
666,B934,284180.0,Fail,
667,D255,842120.0,OK,
668,D256,887840.0,OK,
669,2549,1134500.0,OK,
670,2559,416100.0,OK,
671,2727,400800.0,Fail,
672,2852,1460300.0,OK,
673,4885,1004200.0,OK,
674,D120,521400.0,OK,
675,D121,622640.0,OK,
676,D122,665840.0,OK,
677,4345,1084900.0,OK,
678,A301,1242300.0,OK,
679,A302,1292200.0,OK,
680,A303,1453200.0,OK,
681,3523,233940.0,Fail,
682,D046,260880.0,Fail,
683,D047,716340.0,OK,
684,E542,840500.0,OK,
685,A370,1258700.0,OK,
686,9827,858920.0,OK,
687,D086,900600.0,OK,
688,D360,799650.0,OK,
689,D599,1080450.0,OK,
690,C593,2078600.0,OK,
691,A669,614880.0,OK,
692,E159,1145700.0,OK,
693,E301,1224660.0,OK,
694,C594,1356900.0,OK,
695,C595,901800.0,OK,
696,C596,951200.0,OK,
697,3458,821220.0,OK,
698,5962,558980.0,OK,
699,E302,990540.0,OK,
700,E303,1061260.0,OK,
701,1440,2010200.0,OK,
702,1441,518700.0,Fail,
703,5590,329400.0,Fail,
704,7049,432740.0,OK,
705,7807,666000.0,OK,
706,C803,827400.0,OK,
707,4813,729480.0,OK,
708,C080,841400.0,OK,
709,E413,553440.0,OK,
710,C805,2030000.0,OK,
711,C806,2051700.0,OK,
712,2412,1367360.0,OK,
713,E414,659320.0,OK,
714,E415,638520.0,OK,
715,3779,993900.0,OK,
716,3946,923780.0,OK,
717,8588,1379920.0,OK,
718,A858,696400.0,OK,
719,0785,1509100.0,OK,
720,B847,1962100.0,OK,
721,B848,1820700.0,OK,
722,B849,1978600.0,OK,
723,B850,623500.0,OK,
724,B851,510400.0,Fail,
725,B852,1065600.0,OK,
726,D786,640080.0,OK,
727,D940,809740.0,OK,
728,D941,585860.0,OK,
729,E988,813580.0,OK,
730,A832,2103100.0,OK,
731,A833,2052000.0,OK,
732,B905,2127400.0,OK,
733,D614,1135120.0,OK,
734,D615,961460.0,OK,
735,D789,630400.0,OK,
736,B286,2073300.0,OK,
737,C807,1071700.0,OK,
738,C808,1973500.0,OK,
739,E416,1017920.0,OK,
740,E675,1102980.0,OK,
741,0175,752200.0,OK,
742,6948,851800.0,OK,
743,9045,1085800.0,OK,
744,9090,1326100.0,OK,
745,9104,761350.0,OK,
746,9116,1891200.0,OK,
747,5956,663340.0,OK,
748,9118,646720.0,OK,
749,1715,279700.0,Fail,
750,A304,1079600.0,OK,
751,A305,1190300.0,OK,
752,A306,1185000.0,OK,
753,9923,805420.0,OK,
754,D048,822220.0,OK,
755,D049,1000040.0,OK,
756,B906,1250700.0,OK,
757,B907,1203800.0,OK,
758,B908,668100.0,OK,
759,4809,669640.0,OK,
760,D616,755220.0,OK,
761,A917,688400.0,OK,
762,A918,624600.0,OK,
763,A919,393800.0,Fail,
764,A920,669600.0,OK,
765,8743,650800.0,OK,
766,D184,781360.0,OK,
767,D185,757220.0,OK,
768,D186,498240.0,Fail,
769,B051,1722200.0,OK,
770,B052,1744600.0,OK,
771,3172,643100.0,OK,
772,9879,669040.0,OK,
773,E224,992760.0,OK,
774,E225,870340.0,OK,
775,0644,874800.0,OK,
776,0664,2192700.0,OK,
777,0666,646420.0,OK,
778,0674,1038320.0,OK,
779,4554,1342700.0,OK,
780,4734,1286900.0,OK,
781,4784,759800.0,OK,
782,3173,527540.0,OK,
783,D187,636040.0,OK,
784,D188,605260.0,OK,
785,6751,475740.0,Fail,
786,9841,1240200.0,OK,
787,9998,1356200.0,OK,
788,8149,539400.0,OK,
789,8194,1013420.0,OK,
790,8307,583960.0,OK,
791,C809,822300.0,OK,
792,C810,924400.0,OK,
793,5587,1258460.0,OK,
794,E417,574520.0,OK,
795,C597,1270500.0,OK,
796,C598,729600.0,OK,
797,4787,692860.0,OK,
798,E304,1031440.0,OK,
799,1498,1329900.0,OK,
800,1709,1416600.0,OK,
801,1710,1253000.0,OK,
802,2589,785120.0,OK,
803,2622,774640.0,OK,
804,3355,358760.0,Fail,
805,5476,445760.0,Fail,
806,E983,384580.0,Fail,
807,4190,773600.0,OK,
808,B022,248300.0,Fail,
809,B026,659100.0,OK,
810,6275,539340.0,OK,
811,6276,576520.0,OK,
812,6277,579100.0,OK,
813,8745,1297700.0,OK,
814,8832,940300.0,OK,
815,A539,1014620.0,OK,
816,D146,1033760.0,OK,
817,D147,714720.0,OK,
818,E537,816900.0,OK,
819,E538,1071560.0,OK,
820,2533,1121600.0,OK,
821,2547,2096700.0,OK,
822,0804,760220.0,OK,
823,7949,1018000.0,OK,
824,1084,1699400.0,OK,
825,1086,1461700.0,OK,
826,3846,1894600.0,OK,
827,4674,605940.0,OK,
828,4688,537900.0,OK,
829,9640,435980.0,Fail,
830,C811,1664900.0,OK,
831,C812,763800.0,OK,
832,4154,601280.0,OK,
833,5905,919260.0,OK,
834,E418,692400.0,OK,
835,1526,1366700.0,OK,
836,1527,1423600.0,OK,
837,4933,749280.0,OK,
838,4934,872840.0,OK,
839,3099,1663500.0,OK,
840,3100,1986500.0,OK,
841,6505,607660.0,OK,
842,5993,1864800.0,OK,
843,5994,1431400.0,OK,
844,5998,1111600.0,OK,
845,7950,598920.0,OK,
846,8530,526820.0,OK,
847,8608,528580.0,OK,
848,8614,601120.0,OK,
849,0770,961400.0,OK,
850,C759,1568400.0,OK,
851,C760,1631800.0,OK,
852,C761,1645000.0,OK,
853,E408,1265000.0,OK,
854,E682,1113020.0,OK,
855,0005,1172000.0,OK,
856,0007,1091700.0,OK,
857,0009,1089900.0,OK,
858,0013,1551800.0,OK,
859,5501,460420.0,Fail,
860,E551,849800.0,OK,
861,E552,912420.0,OK,
862,E553,862940.0,OK,
863,8597,1324900.0,OK,
864,8734,2566800.0,OK,
865,9574,833900.0,OK,
866,0890,806140.0,OK,
867,E470,964460.0,OK,
868,1079,1474200.0,OK,
869,4064,694000.0,OK,
870,3296,799900.0,OK,
871,6476,1257150.0,OK,
872,6478,1194900.0,OK,
873,6479,812280.0,OK,
874,6480,1073060.0,OK,
875,7368,744860.0,OK,
876,0017,1322800.0,OK,
877,0024,851900.0,OK,
878,0025,1638400.0,OK,
879,7426,611420.0,OK,
880,E554,470440.0,OK,
881,E555,366540.0,Fail,
882,2466,646900.0,OK,
883,C813,1672700.0,OK,
884,C814,913600.0,OK,
885,C815,1208000.0,OK,
886,C816,1647600.0,OK,
887,E419,1005820.0,OK,
888,E420,929380.0,OK,
889,E421,854900.0,OK,
890,E881,935740.0,OK,
891,B771,1538500.0,OK,
892,B772,1632100.0,OK,
893,B773,639000.0,OK,
894,B774,1867300.0,OK,
895,D893,512320.0,OK,
896,D894,534160.0,OK,
897,C123,1022800.0,OK,
898,C124,1412000.0,OK,
899,C125,1479500.0,OK,
900,C126,1895100.0,OK,
901,C127,1682200.0,OK,
902,C128,1118700.0,OK,
903,D974,607880.0,OK,
904,D975,484160.0,Fail,
905,D976,446080.0,Fail,
906,C129,1665800.0,OK,
907,C130,1492800.0,OK,
908,B379,518180.0,OK,
909,D793,704260.0,OK,
910,D978,1144640.0,OK,
911,D979,910300.0,OK,
912,8242,1522600.0,OK,
913,8245,1230700.0,OK,
914,5515,564400.0,OK,
915,6278,836220.0,OK,
916,6279,795460.0,OK,
917,0274,1652500.0,OK,
918,0279,1044000.0,OK,
919,E696,975620.0,OK,
920,E697,877320.0,OK,
921,E698,760200.0,OK,
922,1754,2088100.0,OK,
923,1757,1304500.0,OK,
924,9715,1719200.0,OK,
925,1882,433960.0,Fail,
926,1973,684780.0,OK,
927,2242,527420.0,OK,
928,8043,1725100.0,OK,
929,8046,1594600.0,OK,
930,8047,1580500.0,OK,
931,8048,1743900.0,OK,
932,6572,374840.0,Fail,
933,6625,747980.0,OK,
934,6640,593760.0,OK,
935,6641,1081500.0,OK,
936,7438,572180.0,OK,
937,7563,633340.0,OK,
938,C817,1406600.0,OK,
939,C818,1472800.0,OK,
940,C819,1038400.0,OK,
941,6892,877720.0,OK,
942,E422,1273480.0,OK,
943,E423,1278760.0,OK,
944,8132,1683500.0,OK,
945,C720,408600.0,Fail,
946,C821,1118300.0,OK,
947,C822,1874900.0,OK,
948,C824,1376700.0,OK,
949,1309,598860.0,OK,
950,4684,816600.0,OK,
951,8117,603400.0,OK,
952,E425,673560.0,OK,
953,E426,625160.0,OK,
954,E427,460340.0,Fail,
955,C132,1800200.0,OK,
956,C133,1815700.0,OK,
957,4707,501000.0,OK,
958,D980,944080.0,OK,
959,D981,989340.0,OK,
960,1189,1251500.0,OK,
